rt @ssirah: ndut @halojakarta , ayo pd daftar\nkatanya #kamiahok https:\/\/t.co\/za5wwlby4s;;;;
rt @embah72: artinya besok setiap orang bisa memberi tekanan thdp aparat penegak hukum. hukum bisa dijadikan alat penghukum dgn\u2026 ;;;;
rt @hasilagribisnis: daripada ngelamun, bantuin rt ya om.. biar publik tau apa bedanya agus sama ahok, hehee\u270c https:\/\/t.co\/mtjt4myukk;;;;
rt @hariadhi: yang lain baru berwacana, ahok sudah wujudkan. plus berantas prostitusi pula... https:\/\/t.co\/r82hw9u3vu;;;;
rt @dennyja_world: saya melihat data lsi soal pilkada dki yang mengejutkan (survei okt 2016): ahok potensial kalah!;;;;
lagian sebar2 broadcast jokowi pki, mau jadiin negara china. kalo ga itu ya ahok.;;;;
rt @dennyja_world: saya melihat data lsi soal pilkada dki yang mengejutkan (survei okt 2016): ahok potensial kalah!;;;;
500.000 warga jakarta serahkan dokumen tolak ahok  https:\/\/t.co\/qks2q2ewim;;;;
rt @manispolos: ketua fui dompu : kami menolak keras kedatangan anton medan, karena anton medan merupakan salah satu pendukung ahok\u2026 ;;;;
rt @zarazettirazr: anjrot bohong lagi ngakunya ahok yg ga bs hadir padahal abah al baghdadi menolak jika ahok hadir \u261d\ud83c\udffc\ufe0fini klatifikasi\u2026 ;;;;
rt @halojakarta: pospera siap menangkan pasangan ahok-djarot https:\/\/t.co\/ldjhtafuau;;;;
rt @savicali: ulama yg bela ahok adalah ulama...... ah, betapa islaminya organisasi ini. (jatiwaringin raya jam 4an tadi) https:\/\/t.co\/1dnv\u2026;;;;
